accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,accelerometerTimestamp_sinceReboot,identifierForVendor,locationAltitude,locationCourse,locationFloor,locationHorizontalAccuracy,locationLatitude,locationLongitude,locationSpeed,locationTimestamp_since1970,locationVerticalAccuracy,loggingTime 
0.036270,-0.899002,-0.421616,387046.111720,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:02.716 +0700
0.036469,-0.898468,-0.422897,387046.211433,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:02.816 +0700
0.035599,-0.898788,-0.422287,387046.311145,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:02.916 +0700
0.036102,-0.899002,-0.421951,387046.410857,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:03.016 +0700
0.036819,-0.899567,-0.422424,387046.510569,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:03.116 +0700
0.035507,-0.898407,-0.422302,387046.610281,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:03.216 +0700
0.035614,-0.898376,-0.422211,387046.709994,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:03.316 +0700
0.036026,-0.898544,-0.421524,387046.809706,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:03.416 +0700
0.036346,-0.900070,-0.422821,387046.909418,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:03.516 +0700
0.036240,-0.899429,-0.422455,387047.009130,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:03.616 +0700
0.036346,-0.898376,-0.422272,387047.108842,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:03.716 +0700
0.036316,-0.898254,-0.422211,387047.208554,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:03.816 +0700
0.035873,-0.897934,-0.422272,387047.308267,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:03.916 +0700
0.036484,-0.899002,-0.422546,387047.407979,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:04.016 +0700
